path	type	is_git_repo	is_git_worktree	current_branch	git_clean	uncommitted_changes	untracked_files	unpushed_count_not_on_origin	file_count	size_summary	unique_artifacts_count	duplicate_artifacts_count	cleanup_action	safety_classification	reason
/Users/fan/.config/superpowers/worktrees/视频工厂/codex-formal-api-demo-quality-liveportrait-round1	external_git_worktree	True	True	codex/formal-api-demo-quality-liveportrait-round1	False	0	42	0	178	25.4 MB	90	72	blocked_need_user_review	keep_due_to_risk	untracked_files
/Users/fan/.config/superpowers/worktrees/视频工厂/codex-round1-visual-pass-report-style	external_git_worktree	True	True	codex/round1-visual-pass-report-style	False	0	84	0	267	155.1 MB	146	89	blocked_need_user_review	keep_due_to_risk	untracked_files
/Users/fan/.config/superpowers/worktrees/视频工厂/codex-v001-24h-screenshot-intake-20260502	external_git_worktree	True	True	codex/v001-24h-screenshot-intake-20260502	True	0	0	0	897	245.9 MB	10	756	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/.config/superpowers/worktrees/视频工厂/material-faithful-check-20260429	external_git_worktree	True	True	codex/material-faithful-check-20260429	True	0	0	0	806	231.2 MB	53	652	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/.config/superpowers/worktrees/视频工厂/v31-gray-test-metrics-v1-20260502	external_git_worktree	True	True	codex/v31-gray-test-metrics-v1-20260502	True	0	0	0	859	245.0 MB	14	738	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/.config/superpowers/worktrees/视频工厂/v31-gray-test-review-loop-20260502	external_git_worktree	True	True	codex/v31-gray-test-review-loop-20260502	True	0	0	0	857	245.0 MB	13	737	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/.config/superpowers/worktrees/视频工厂/v31-screenshot-data-buckets-20260502	external_git_worktree	True	True	codex/v31-screenshot-data-buckets-20260502	True	0	0	0	893	245.0 MB	0	762	git_worktree_remove_after_recovery	recovered_archive_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂	canonical_workspace	True	True	codex/single-workspace-cleanup-from-user-readable-map-20260502	False	0	5273	0	7781	4.6 GB	0	0	keep	canonical_workspace	唯一正式工作区
/Users/fan/Documents/视频工厂-worktrees	non_git_project_copy	False	False						797	208.1 MB	1	695	move_to_internal_quarantine_after_recovery	delete_after_recovery_candidate	非 Git 散目录；可在回收唯一文件后整体移入唯一工作区隔离区
/Users/fan/Documents/视频工厂-worktrees/copy-sample-rhythm-extract-20260429	external_git_worktree	True	True	codex/copy-sample-rhythm-extract-20260429	True	0	0	0	797	208.1 MB	1	695	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂/临时产物_staging/worktrees/ai_ppt_pitfall_preview_v1_20260429	external_git_worktree	True	True	codex/ai-ppt-pitfall-tech-preview-v1-20260429	True	0	0	0	764	216.1 MB	0	663	git_worktree_remove_after_recovery	recovered_archive_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂/临时产物_staging/worktrees/gpt_project_source_path_rule_20260428	external_git_worktree	True	True	codex/gpt-project-source-and-path-rule-20260428	True	0	0	0	755	197.3 MB	0	654	git_worktree_remove_after_recovery	recovered_archive_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_clean_user_readable_map_20260430	external_git_worktree	True	True	codex/cute-card-reference-audit-20260430	True	0	0	0	775	199.2 MB	7	667	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_locked_reference_inheritance_20260430	external_git_worktree	True	True	codex/locked-reference-inheritance-mechanism-20260430	True	0	0	0	757	197.3 MB	5	651	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_repo_cleanup_old_context_20260502	external_git_worktree	True	True	codex/repo-cleanup-old-context-20260502	True	0	0	0	798	212.4 MB	12	685	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_sassy-card-structure-budget-20260428	external_git_worktree	True	True	codex/sassy-card-structure-budget-20260428	True	0	0	0	755	197.3 MB	9	645	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_v2_candidate_worktree	external_git_worktree	True	True	codex/ai-ppt-pitfall-finished-candidate-v2-20260430	True	0	0	0	773	212.9 MB	2	670	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_v31_current_baseline_sync_20260502	external_git_worktree	True	True	codex/v31-current-baseline-sync-20260502	True	0	0	0	854	244.9 MB	7	740	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_v31_visual_route_fix	external_git_worktree	True	True	codex/ai-ppt-pitfall-v31-visual-route-fix-20260430	True	0	0	0	863	260.4 MB	9	739	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/Users/fan/Documents/视频工厂_v3_milestone_reference_locks_20260501	external_git_worktree	True	True	codex/v3-milestone-reference-locks-v31-routing-20260501	True	0	0	0	793	212.4 MB	19	673	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/private/tmp/视频工厂_opening_anchor_20260428	external_git_worktree	True	True	codex/opening-anchor-20260428	True	0	0	0	758	206.2 MB	5	652	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/private/tmp/视频工厂_real_ai_experience_mainline_20260428	external_git_worktree	True	True	codex/pivot-real-ai-experience-mainline-20260428	True	0	0	0	755	197.3 MB	10	644	git_worktree_remove_after_recovery	delete_after_recovery_candidate	Git 工作区干净且无未推送提交；唯一文件回收校验后可清理
/private/tmp/视频工厂_scheme_b_v3_diagnostics	external_git_worktree	False	True						114	135.5 MB	0	114
/private/tmp/视频工厂_user_readable_map_sync	external_git_worktree	False	True						0	0 B	0	0
